2016-12-18T16:15:29+0000,"Under Threat in Washington, First Lady's Food Legacy May Live on Elsewhere",By REUTERS,"Michelle Obama will be ceding the title of first lady to Melania Trump next month, but she may hold for some time the other distinction she earned during her time in the White House: America's best known advocate for healthy food."
2016-12-17T19:30:25+0000,What Donald Trump Doesn’t Know About Black People,By MICHAEL ERIC DYSON,The unifying force in the United States is whiteness.
2016-12-17T15:26:01+0000,What Do Trump Voters Want?,By PAUL KRUGMAN,
2016-12-17T00:27:33+0000,Factbox: Trump Fills Top Jobs for His Administration,By REUTERS,"President-elect Donald Trump will nominate Republican U.S. Representative Mick Mulvaney to be director of the White House Office of Management and Budget, a senior transition official said on Friday."
2016-12-16T19:18:41+0000,Threats to Mental Health,NA,A psychiatrist writes about “the necessity of preserving medical coverage for psychiatric disorders.”
2016-12-16T18:14:30+0000,Want to Get Rid of Obamacare? Be Careful What You Wish For,By ROBERT H. FRANK,"Donald Trump may actually have the political power to enact the single-payer approach, but Republicans are extremely unlikely to embrace it."
2016-12-16T08:15:46+0000,Donald Trump and Paul Ryan Learn How to Get Along _ for Now,By THE ASSOCIATED PRESS,President-elect Donald Trump and House Speaker Paul Ryan have put their rocky start behind them and are learning how to get along &#8212; for now.
2016-12-16T01:36:04+0000,G.O.P. Plans to Replace Health Care Law With ‘Universal Access’,By ROBERT PEAR and THOMAS KAPLAN,"Republicans said by repealing the Affordable Care Act, and then delaying the effective date, they hope to guarantee access to health care, not just to health insurance."
2016-12-16T01:03:27+0000,"Obamacare Repeal Could Take Months; Replacement, Years: Republican Aides",By REUTERS,"Repealing Obamacare could take months and developing replacement health insurance plans could take years, senior Republican aides in the U.S. Congress said on Thursday, discouraging talk of a quick end to the program after President-elect Donald Trump takes office on Jan. 20."
2016-12-15T20:04:05+0000,Study: Repealing Obama Health Law Cuts Taxes for Wealthy,By THE ASSOCIATED PRESS,"Republicans may be handing wealthy Americans a big tax cut by repealing President Barack Obama's health care law, according to a study released Thursday that spells out potential economic pitfalls behind the election-year slogans."
2016-12-15T16:42:32+0000,Factbox: Trump Fills Top Jobs for His Administration,By REUTERS,"U.S. President-elect Donald Trump has formally named Republican Representative Ryan Zinke of Montana, a former Navy SEAL commander, as his pick for interior secretary, the Trump transition team said in a statement on Thursday."
2016-12-15T13:23:52+0000,"He Won’t Actually Take Away My Insurance, Will He?",By DAVID LEONHARDT,The Republican Party has essentially tied itself to a magical solution: getting rid of the law while keeping its benefits.
2016-12-15T09:24:40+0000,Study: Premium Hikes Add $10B to Taxpayers' Health Law Tab,By THE ASSOCIATED PRESS,"Taxpayers will fork over nearly $10 billion more next year to cover double-digit premium hikes for subsidized health insurance under President Barack Obama's law, according to a study being released Thursday."
2016-12-14T23:24:29+0000,House Republicans Accelerate Efforts on Tax Reform Bill,By REUTERS,"Republicans in the U.S. House of Representatives are accelerating efforts to craft a sweeping tax reform bill for 2017 and looking at ways to smooth the transition to a new tax system for some businesses, the House Republican tax chief said on Wednesday."
2016-12-14T22:21:38+0000,Factbox: Trump Fills Top Jobs for His Administration,By REUTERS,"U.S. President-elect Donald Trump has chosen Republican Representative Ryan Zinke of Montana, a former Navy SEAL commander, as his interior secretary, a senior transition official said on Tuesday."
2016-12-14T10:45:37+0000,10 Things to Know for Today,By THE ASSOCIATED PRESS,"Your daily look at late-breaking news, upcoming events and the stories that will be talked about today:"
2016-12-13T12:06:34+0000,Factbox: Trump Fills Top Jobs for His Administration,By REUTERS,"U.S. President-elect Donald Trump has chosen former Texas Governor Rick Perry to head the U.S. Department of Energy, a transition official said, putting him in charge of the agency he proposed eliminating during his bid for the 2012 Republican presidential nomination."
2016-12-13T10:00:25+0000,Where Were Trump’s Votes? Where the Jobs Weren’t,By EDUARDO PORTER,Donald Trump won the support of blue-collar whites outside urban areas in part because nearly all the gains from the economic recovery passed them by.
2016-12-12T20:33:32+0000,Factbox-Trump Fills Top Jobs for His Administration,By REUTERS,"U.S. President-elect Donald Trump named Goldman Sachs Group Inc executive Gary Cohn on Monday to head his White House National Economic Council, a group tasked with coordinating economic policy across federal agencies. "
2016-12-12T19:39:27+0000,U.S. Seeks to Undercut Aetna CEO's Defence in Merger Fight,By REUTERS,"The U.S. Justice Department sought on Monday to knock down arguments by Aetna Inc's chief executive that Medicare Advantage competes with government insurance programs, making Aetna's proposed merger with Humana legal under antitrust law. Aetna CEO Mark Bertolini testified on Friday and returned to the witness stand Monday morning. The Justice Department sued to stop the merger in July. "
2016-12-12T16:06:30+0000,McConnell Will Not Give Timeline for Obamacare Replacement,By REUTERS,"U.S. Senate Majority Leader Mitch McConnell said on Monday the Senate will move to repeal President Barack Obama's healthcare law shortly after Jan. 1, but declined to give a timeline for a plan to replace it."
2016-12-12T11:06:33+0000,10 Things to Know for Today,By THE ASSOCIATED PRESS,"Your daily look at late-breaking news, upcoming events and the stories that will be talked about today:"
2016-12-12T08:21:18+0000,The Mental Health Crisis in Trump’s America,By RICHARD A. FRIEDMAN,What will happen to my patients with depression or psychosis if they lose their health insurance?
2016-12-12T08:21:18+0000,Patriotic Opposition to Donald Trump,By CHARLES M. BLOW,"You may have been on the losing side of the election, but you are on the right side of history."
2016-12-12T08:20:00+0000,Can Trump and His Team Fix Obamacare?,,
2016-12-11T05:42:27+0000,"Republican Wins Senate Runoff in Louisiana, Giving Party 52 Seats",By REUTERS,"Republican John Neely Kennedy, a candidate for the U.S. Senate,  won a runoff election in Louisiana on Saturday against Democrat Foster Campbell in a race that gives the Republicans a 52-seat majority in the chamber."
2016-12-11T03:27:30+0000,"Republican Wins Senate Runoff in Louisiana, Giving Party 52 Seats",By REUTERS,"Republican John Neely Kennedy, a candidate for the U.S. Senate,  won a runoff election in Louisiana on Saturday against Democrat Foster Campbell in a race that gives the Republicans a 52-seat majority in the chamber."
2016-12-10T20:03:38+0000,Health Care Under Donald Trump,NA,Readers discuss the challenges Republicans will face with their promise to repeal and replace Obamacare.
2016-12-10T19:30:14+0000,Should I Lie About My Beliefs to Get Health Insurance?,By HILLARY ROSNER,I could save thousands by joining a faith-based plan. But I would have to denounce gay marriage and women’s right to an abortion.
2016-12-10T13:57:33+0000,"As 114th Congress Limped to a Close, Uncertainty Is Ahead",By THE ASSOCIATED PRESS,"The 114th Congress has limped to a close, two years of partisan acrimony punctuated by the occasional burst of bipartisan deal-making in the waning days of Barack Obama's presidency."
2016-12-10T10:00:02+0000,‘Might Does Not Make Right; Being in the Right Does.’,By LELA MOORE and CYNTHIA COLLINS,"Our Top 10 Comments of the Week: Readers debate Trump’s Cabinet appointments, the death of astronaut John Glenn and the extent of Russian doping."
2016-12-10T07:39:35+0000,GOP's 'Obamacare' Repeal Path Worries Health Care Industry,By THE ASSOCIATED PRESS,"One by one, key health care industry groups are telling the incoming Republican administration and Congress that it's not a good idea to repeal the 2010 health care law without clear plans to address the consequences."
2016-12-10T00:54:28+0000,Aetna CEO Defends Merger With Humana in Antitrust Trial,By REUTERS,"Aetna Inc's chief executive denied on Friday that its withdrawal from some Obamacare exchanges was in retaliation for government efforts to halt its merger with Humana Inc, as he sought to convince a federal judge to approve the deal. The U.S. Justice Department sued to stop the $34 billion tie-up in July, saying that it and another insurance mega merger, Anthem Inc's planned purchase of Cigna Corp, would mean higher prices and worse service for many consumers."
2016-12-09T23:08:16+0000,How to Play the Trump Stock Market Rally,By PAUL J. LIM,"Shares of several big banks have surged since election night, but some investors see bigger opportunity in the international markets."
2016-12-09T22:38:58+0000,Wary Drug Makers Move to Fend Off Further Attacks Under Donald Trump,By KATIE THOMAS,"Even before the president-elect vowed “to bring down drug prices,” many companies began taking a pre-emptive approach on pricing."
2016-12-09T19:00:34+0000,Trump Fills Top Jobs for His Administration,By REUTERS,"U.S. President-elect Donald Trump is expected to pick Goldman Sachs executive Gary Cohn to head his White House National Economic Council, a group tasked with coordinating economic policy across federal agencies, a Trump transition official told Reuters on Friday. "
2016-12-09T18:57:33+0000,Factbox: Trump Fills Top Jobs for His Administration,By REUTERS,"U.S. President-elect Donald Trump is expected to pick Goldman Sachs executive Gary Cohn to head his White House National Economic Council, a group tasked with coordinating economic policy across federal agencies, a Trump transition official told Reuters on Friday. "
2016-12-09T18:12:28+0000,"WHO Urges Trump to Expand Obamacare, Ensure Healthcare for All",By REUTERS,The World Health Organization (WHO) on Friday urged U.S. President-elect Donald Trump to expand Obamacare and ensure all Americans have access to healthcare.
2016-12-09T11:12:27+0000,Democrats Plot Uphill Fight Against Some Trump Nominations,By REUTERS,"U.S. Senate Democrats plan to fight some of President-elect Donald Trump's choices for top administration jobs, but history and the party's minority status in the chamber are not on their side."
2016-12-09T11:06:28+0000,"Under Trump, Congress Likely to Pull Plug on Medical Device Tax",By REUTERS,"When Donald Trump takes over as president on Jan. 20, one of the first business tax breaks he delivers is likely to go to the U.S. medical device industry and companies like Mark Throdahl's."
2016-12-09T08:06:46+0000,New Coalition Will Push Back on Repeal of Obama Health Law,By THE ASSOCIATED PRESS,Supporters of the 2010 health care law will launch a political coalition Friday to block its repeal. They're targeting Republican lawmakers whose constituents may now be at risk of losing health insurance.
2016-12-09T01:36:33+0000,Cures Act Gains Bipartisan Support That Eluded Obama Health Law,By ROBERT PEAR,"The 21st Century Cures Act, a bill that sailed through Congress with overwhelming support from both parties, stands in contrast to the looming fight over the Affordable Care Act."
2016-12-08T21:57:31+0000,Factbox: Trump Fills Top Jobs for His Administration,By REUTERS,"U.S. President-elect Donald Trump plans to nominate Andrew Puzder, chief executive of fast-food chain operator CKE Restaurants Inc, as his choice for labor secretary, a source familiar with the matter said on Thursday. "
2016-12-08T09:24:27+0000,Israel's Netanyahu Gives Conditional 'No' to Meeting Abbas in Paris,By REUTERS,Israeli Prime Minister Benjamin Netanyahu said on Wednesday that he had told French President Francois Hollande he would not meet Palestinian leader Mahmoud Abbas if France pushed ahead with an international peace conference in Paris later this month.
2016-12-08T08:21:05+0000,"Harry Reid: Farewell, Fair Senate",By HARRY REID,"Ending the ability to filibuster presidential nominations was the right thing to do, and I stand by it."
2016-12-07T23:42:32+0000,U.S. Republicans Quibble Over Effective Date of Obamacare Repeal,By REUTERS,"U.S. Republican senators are leaning towards a plan to delay the effective date of an Obamacare repeal for three years, a senior Republican said on Wednesday."
2016-12-07T18:27:34+0000,Israel's Netanyahu Gives Conditional 'No' to Meeting Abbas in Paris,By REUTERS,Israeli Prime Minister Benjamin Netanyahu said on Wednesday that he had told French President Francois Hollande he would not meet Palestinian leader Mahmoud Abbas if France pushed ahead with an international peace conference in Paris later this month.
2016-12-07T17:54:30+0000,Factbox: Trump Fills Top Jobs for His Administration,By REUTERS,"U.S. President-elect Donald Trump plans to nominate wrestling magnate Linda McMahon as his choice to head the Small Business Administration, Trump's transition team said in a statement on Wednesday. "
2016-12-07T17:51:32+0000,Trump Fills Top Jobs for His Administration,By REUTERS,"U.S. President-elect Donald Trump plans to nominate wrestling magnate Linda McMahon as his choice to head the Small Business Administration, Trump's transition team said in a statement on Wednesday. "
2016-12-07T16:30:40+0000,Israel's Netanyahu Gives Conditional 'No' to Meeting Abbas in Paris,By REUTERS,Israeli Prime Minister Benjamin Netanyahu said on Wednesday that he had told French President Francois Hollande he would not meet Palestinian leader Mahmoud Abbas if France pushed ahead with an international peace conference in Paris later this month.
2016-12-07T15:41:09+0000,Is Donald Trump’s Cabinet Anti-Woman?,By SUSAN CHIRA,His campaign was marked by misogyny. His appointments aren’t much better.
2016-12-07T12:00:27+0000,An Obamacare ‘Delay’ Plan Could Backfire,By MARGOT SANGER-KATZ,Republicans may try to “repeal and delay” Obamacare. But controlling the timing of the program’s demise could be tricky.
2016-12-07T10:03:41+0000,Study: 'Obamacare' Repeal-Only Would Make 30M Uninsured,By THE ASSOCIATED PRESS,"Repealing President Barack Obama's health care law without a replacement risks making nearly 30 million people uninsured, according to a study released Wednesday."
2016-12-07T08:21:22+0000,Paul Ryan’s Dangerous Silence on Donald Trump,By FRANK BRUNI,How long can the House speaker bite his tongue about the president-elect?
2016-12-06T23:50:01+0000,House Turns Aside Effort to Impeach IRS Commissioner,By THE ASSOCIATED PRESS,"The House turned aside an eleventh-hour drive Tuesday by hard-right conservatives to impeach the IRS commissioner, with most Republicans concluding the effort could hurt Congress' hopes of getting a fast start on President-elect Donald Trump's agenda next year."
2016-12-06T23:30:28+0000,U.S. Insurer Lobby Group Seeks Delay in 2018 Obamacare Deadline,By REUTERS,The largest lobbying group for health insurers has asked U.S. lawmakers weighing the fate of Obamacare to push back the due date for 2018 individual insurance submissions to regulators in hopes of obtaining greater clarity on the program's future later on. 
2016-12-06T23:21:27+0000,Senate Republican Leaders Vow to Begin Repeal of Health Law Next Month,By ROBERT PEAR,"The strategy would start the process in early January and could defer the effective date for several years, but not all party members were on board."
2016-12-06T22:21:29+0000,Repealing Obamacare to Be First on Senate Agenda in 2017,By REUTERS,"Repealing Obamacare will be the first order of business in the U.S. Senate in January, Senate Majority Leader Mitch McConnell, a Republican, said on Tuesday."
2016-12-06T21:42:28+0000,U.S. Courts Look Ahead to Trump as Obama Cases Fizzle,By REUTERS,"President Barack Obama's legal defense of some key initiatives including his signature healthcare law is collapsing as courts put cases on hold until after President-elect Donald Trump, hostile to the policies, assumes office on Jan. 20."
2016-12-06T10:00:07+0000,Life in Obamacare’s Dead Zone,By INARA  VERZEMNIEKS,"Excluded from the Affordable Care Act because of politics, thousands of poor Americans grapple with the toll — physical and psychological — of being uninsured."
2016-12-05T23:12:33+0000,Factbox: Trump Fills Top Jobs for His Administration,By REUTERS,U.S. President-elect Donald Trump said on Monday he would name retired neurosurgeon Ben Carson as secretary of the Department of Housing and Urban Development.
2016-12-05T17:39:32+0000,U.S. Court Puts Obamacare Case on Hold Until Trump Takes Office,By REUTERS,"A federal appeals court on Monday brought to an end President Barack Obama's bid to overturn a ruling that threatens to gut his signature healthcare law by putting the case on hold until after President-elect Donald Trump, who aims to repeal Obamacare, takes office."
2016-11-29T17:59:15+0000,Does Medicare Need to Be Reformed?,,
2016-12-05T16:27:30+0000,U.S. Attorneys Argue Aetna-Humana Deal Violates Antitrust Law,By REUTERS,"A U.S. Justice Department attorney told a federal judge on Monday that health insurer Aetna Inc's planned acquisition of Humana Inc would break antitrust law by reducing competition in Medicare Advantage and Obamacare exchange businesses, kicking off a trial expected to last weeks."
2016-12-05T08:21:06+0000,The Art of the Scam,By PAUL KRUGMAN,Prepare for government by bait and switch.
2016-12-03T20:21:16+0000,Can I Go to Great Books Camp?,By MOLLY WORTHEN,20-something Republicans have clustered in reading groups sponsored by conservative foundations. Liberals should imitate them.
2016-12-03T02:04:40+0000,"G.O.P. Plans Immediate Repeal of Health Law, Then a Delay","By ROBERT PEAR, JENNIFER STEINHAUER and THOMAS KAPLAN","Congressional Republicans plan to move quickly to repeal the Affordable Care Act, but they are also likely to delay the effective date."
2016-12-02T19:12:30+0000,U.S. Health Spending in 2015 Rose at Fastest Rate Since 2007,By REUTERS,"U.S. health spending in 2015 rose at its fastest rate since 2007, driven by expanded access to insurance under the Affordable Care Act and high-priced specialty drugs, according to government figures released on Friday."
2016-12-02T13:21:37+0000,Trump Fills Top Jobs for His Administration,By REUTERS,U.S. President-elect Donald Trump said on Thursday he would name retired Marine Corps General James Mattis as defense secretary.
2016-12-02T10:00:35+0000,"Trump Unveils High-Powered and Well-Heeled Business Council, and Invites Filipino Strongman to White House","By MICHAEL D. SHEAR, JULIE HIRSCHFELD DAVIS, MAGGIE HABERMAN and NICK CORASANITI",The president-elect’s new business council will be headed by the hedge fund billionaire Stephen Schwarzman. His overture to Rodrigo Duterte of the Philippines is sure to raise eyebrows.
2016-12-02T08:54:33+0000,"Key House Chairman: GOP Will Change Medicare, to 'Save' It",By THE ASSOCIATED PRESS,The chairman of a key House committee is pledging that congressional Republicans will change Medicare in order to save it.
2016-12-02T08:33:36+0000,Senate GOP Shies From Fight Over Medicare,By THE ASSOCIATED PRESS,Congressional Democrats are warning that Speaker Paul Ryan and President-elect Donald Trump are gunning for Medicare &#8212; and they are rubbing their hands with glee at the prospect of an epic political battle over the government's flagship health program that covers 57 million Americans.
2016-12-02T08:21:04+0000,Seduced and Betrayed by Donald Trump,By PAUL KRUGMAN,The white working class is due for a rude awakening when the safety net is shredded.
2016-12-02T02:18:29+0000,Factbox-Trump Fills Top Jobs for His Administration,By REUTERS,U.S. President-elect Donald Trump said on Thursday he would name retired Marine Corps General James Mattis as defence secretary.
2016-12-02T02:15:31+0000,Trump Fills Top Jobs for His Administration,By REUTERS,U.S. President-elect Donald Trump said on Thursday he would name retired Marine Corps General James Mattis as defense secretary.
2016-12-01T22:51:30+0000,Senator Warns Against Simultaneous Overhaul of Medicare and Obamacare,By REUTERS,"A senior U.S. Senate Republican warned his party on Thursday against simultaneously overhauling Medicare and the Obamacare health insurance program, saying this would be ""biting off more than you can chew."""
2016-12-01T20:58:59+0000,"Key House Chairman: GOP Will Change Medicare, to 'Save' It",By THE ASSOCIATED PRESS,The chairman of a key House committee pledged Thursday that congressional Republicans will change Medicare in order to save it.
2016-12-01T19:48:30+0000,"Obama, Trying to Protect Legacy, Unlikely to Act on Mideast Peace",By REUTERS,"U.S. President Barack Obama, keen to preserve his legacy on domestic health care and the Iran nuclear deal, is not expected to make major moves on Israeli-Palestinian peace before leaving office, U.S. officials said on Thursday."
2016-12-01T19:24:33+0000,Pharma Execs Weigh In on Possible Changes Under Trump,By REUTERS,"Top executives from large U.S. drugmakers on Thursday discussed for the first time possible changes for the industry under  President-elect Donald Trump, and issues that have damaged the reputation of their industry."
2016-12-01T08:30:25+0000,"A Trump Pick, and Why Indiana’s Strict Medicaid Rules Could Spread",By MARGOT SANGER-KATZ,Donald Trump’s nomination of Seema Verma suggests states will be given more power to remodel their Medicaid programs.
2016-12-01T08:21:25+0000,Forget the Tie. Give a Gift That Matters.,By NICHOLAS KRISTOF,You can give a present with more impact than a tie.
2016-11-30T23:22:46+0000,Democrats See Medicare as Winning Wedge Issue,By CARL HULSE,"As Republicans take on health care, Democrats are grasping at the politics of Medicare as a path to potential revival after a bruising election."
2016-11-30T13:18:28+0000,Factbox: Trump Fills Top Jobs for His Administration,By REUTERS,"President-elect Donald Trump has chosen former Goldman Sachs partner and Hollywood financier Steven Mnuchin as his nominee for Treasury secretary and billionaire investor Wilbur Ross to head the Commerce Department, the two men told CNBC on Wednesday.   "
2016-11-30T02:12:28+0000,Health Industry Breathes Easier as Post-Obamacare Path Stabilizes,By REUTERS,"Hospitals and health insurers are gaining confidence that their nightmare scenario - millions of Americans instantly losing health insurance once President-elect Donald Trump delivers on a promise to ""repeal and replace"" Obamacare - is looking more like a bad dream than becoming reality."
2016-11-30T01:44:23+0000,"Tom Price, H.H.S. Nominee, Drafted Remake of Health Law",By ROBERT PEAR,"Mr. Price’s bill, the Empowering Patients First Act, would weaken many consumer protections in the Affordable Care Act, President Obama’s signature domestic achievement."
2016-11-29T21:01:57+0000,Health Nominee Price May Find That Changing HHS Isn't Easy,By THE ASSOCIATED PRESS,"As an orthopedic surgeon, Tom Price is used to calling the shots in the operating room. If confirmed to run the federal Department of Health and Human Services, the doctor-turned-congressman from Georgia may find it a lot harder to exercise authority."
2016-11-29T19:13:19+0000,"GOP Could Repeal, Before Replacing, Obamacare",By THE ASSOCIATED PRESS,"Congress may vote to repeal President Barack Obama's health care law before coming up with a replacement, GOP leaders said Tuesday."
2016-11-29T17:15:31+0000,Factbox: Trump Fills Top Jobs for His Administration,By REUTERS,"U.S. President-elect Donald Trump is expected to name former Goldman Sachs partner and Hollywood financier Steven Mnuchin as his nominee for Treasury secretary and billionaire investor Wilbur Ross to head the Commerce Department, according to Republican sources."
2016-11-29T16:50:01+0000,How Many People Just Voted Themselves Out of Health Care? (Updated) (Updated again) (And again),By PAUL KRUGMAN,
2016-11-29T15:25:03+0000,"HHS Nominee Price Opposes Obamacare, Backs Medicare Vouchers",By THE ASSOCIATED PRESS,"As a congressman, Georgia Republican Tom Price has been thwarted in his hopes to repeal the Affordable Care Act and transform Medicare into a voucher-like program for future participants."
2016-11-29T14:06:32+0000,Factbox: Trump Announces Picks to Fill Two Key Healthcare Posts,By REUTERS,Republican U.S. President-elect Donald Trump on Tuesday named a vociferous Obamacare critic and a consultant to help him overhaul the nation's healthcare system.
2016-11-29T12:36:40+0000,The Latest: Wis. Judge Rejects Request for Recount by Hand,By THE ASSOCIATED PRESS,The Latest on President-elect Donald Trump and his administration (all times EST):
2016-11-29T08:21:48+0000,"Trump Tapping Washington, Wall Street Veterans for Top Jobs",By THE ASSOCIATED PRESS,"President-elect Donald Trump is enlisting a trio of nominees with deep ties to Washington and Wall Street to fill out his Cabinet, including former Goldman Sachs executive Steven Mnuchin as secretary of the Treasury Department."
2016-11-29T08:21:25+0000,Donald Trump: Be ‘Big Marco’ or Set His Own Path?,By DAVID LEONHARDT,"The next president will have to decide whether he is another standard Republican on taxes, spending and the economy."
2016-11-29T05:51:30+0000,"Trump Picks Loyalists for Economic Posts, Obamacare Critic for Cabinet",By REUTERS,U.S. President-elect Donald Trump chose a former Goldman Sachs banker and a billionaire investor on Tuesday to steer economic policy in his administration and a fierce Obamacare critic to dismantle President Barack Obama's signature healthcare program. 
2016-11-28T18:12:31+0000,Trump to Name Georgia Lawmaker Tom Price as Health Secretary Pick,By REUTERS,"President-elect Donald Trump is set to announce on Tuesday that he has chosen Republican U.S. Representative Tom Price, an orthopedic surgeon and vociferous critic of the Affordable Care Act, as health and human services secretary, two sources told Reuters."
2016-11-28T16:58:34+0000,The Latest: Trump Slams CNN Over Baseless Voter Fraud Claim,By THE ASSOCIATED PRESS,The Latest on President-elect Donald Trump (all times EST):
2016-11-28T11:53:23+0000,When Having Insurance Still Leaves You Dangerously Uncovered,By AARON E. CARROLL,"More Americans are insured, but many are still underinsured — meaning that they are exposed to significant financial risk from out-of-pocket payments."
2016-11-26T19:30:27+0000,What Unions Got Wrong About Trump,By STEVEN GREENHOUSE,Working-class whites delivered three Rust Belt states to the president-elect.
2016-11-26T19:30:26+0000,Can Senate Democrats Save the Party?,By THE EDITORIAL BOARD,"As the party seeks a unifying message, it also must decide how to best use its power in Congress."
2016-11-26T07:57:34+0000,Trump May Need Roberts' Vote When Supreme Court Takes Cases,By THE ASSOCIATED PRESS,"It's a safe bet that when Chief Justice John Roberts and Donald Trump meet outside the Capitol on Inauguration Day, Roberts won't ask why Trump said terrible things about him."
2016-11-25T16:29:39+0000,"Many in Florida Count on Obama’s Health Law, Even Amid Talk of Its Demise",By ABBY GOODNOUGH,"In a state that Donald J. Trump won, many do not believe he will end a benefit they rely on, posing a challenge for those seeking to scrap the program."
2016-11-25T15:39:27+0000,Trump's Shifting Positions Since U.S. Election Win,By REUTERS,"After firing up crowds with boisterous and sometimes divisive campaign rhetoric, Donald Trump has appeared to moderate some stances since he won the U.S. presidential election on Nov. 8."
2016-11-24T08:21:05+0000,"No Experience, No Problem",By THE EDITORIAL BOARD,The president-elect’s transition has drawn a crowd of job seekers of varying ideological hues and experience levels.
2016-11-22T11:09:33+0000,"Willing to Oppose Trump, Some Senate Republicans Gain Leverage",By REUTERS,It is no surprise that Democrats in the U.S. Congress will oppose Donald Trump but the most important resistance to fulfilling the president-elect's agenda is beginning to emerge from Republicans on Capitol Hill.
2016-11-22T08:27:39+0000,"For Trump and GOP,' Obamacare' Repeal Is Complex and Risky",By THE ASSOCIATED PRESS,"Here's the idea: Swiftly pass a repeal of President Barack Obama's health care law, perhaps soon enough for Donald Trump to sign it the day he takes the presidential oath. Then approve legislation restructuring the nation's huge and convoluted health care system &#8212; despite Republican divisions, Democratic opposition and millions of jittery constituents."
2016-11-22T08:24:42+0000,Trump's Big Agenda Could Put GOP's Budget Goals Out of Reach,By THE ASSOCIATED PRESS,"President-elect Donald Trump promises big tax cuts, a border wall and massive spending on infrastructure. That's a recipe for bigger deficits that fiscally minded conservative Republicans have railed against during President Barack Obama's tenure."
2016-11-22T08:21:04+0000,"Fellow Trump Critics, Maybe Try a Little Listening",By DAVID BROOKS,Let’s take a break and see what’s going on.
